Items
Battery
Bible
Bike
Boat
Borehole
Car
Clothes
Computer
Corrugated Iron Sheet
Disposable Sanitary Pad
Doctor
Donkey and Cart
Electricity
Fridge
Furniture
Gas Stove
Generator
Grain Mill
Grinder
Hospital
House
Irrigation
Items
Jerrycan
Kerosene Lantern
Light Bulb
Medicine
Mobile Phone
Money
Motorcycle
Overhead Water Tank
Rainwater Harvesting System
River
Road
School
Solar PV System
Stove
Toilet Flush
Toilet Squat
Torch
Vegetables
Water
Water Pump
Watering can
Wheelbarrow
Wood Stove
